"Время","Товар","Количество завершенных сделок"
2025-03-10 03:00:00,1 000 000 000 gems,2
2025-03-10 03:00:00,100 000 000 gems,5
2025-03-10 03:00:00,10 000 000 gems,4
2025-03-10 03:00:00,1 000 000 gems,7
2025-03-10 03:00:00,Captain Magma,1
2025-03-10 03:00:00,Chest Spell,1
2025-03-10 03:00:00,Huge Egg Dino,1
2025-03-10 03:00:00,Huge Fancy Axolotl,1
2025-03-10 03:00:00,Huge Happy Computer,1
2025-03-10 03:00:00,Huge Happy Rock,5
2025-03-10 03:00:00,Sea King Jaw,1
2025-03-17 03:00:00,1 000 000 000 gems,1
2025-03-17 03:00:00,100 000 000 gems,5
2025-03-17 03:00:00,10 000 000 gems,7
2025-03-17 03:00:00,1 000 000 gems,4
2025-03-17 03:00:00,Huge Baby Kitten,1
2025-03-17 03:00:00,Huge Blurred Axolotl,1
2025-03-17 03:00:00,Huge Colorful Slime,1
2025-03-17 03:00:00,Huge Cosmic Axolotl,1
2025-03-17 03:00:00,Huge Fancy Axolotl,1
2025-03-17 03:00:00,Huge Fluffy Cat,2
2025-03-17 03:00:00,Huge Fossil Dragon,1
2025-03-17 03:00:00,Huge Gorgon,2
2025-03-17 03:00:00,Huge Happy Computer,5
2025-03-17 03:00:00,Huge Happy Rock,2
2025-03-17 03:00:00,Huge Heartbreak Fairy,1
2025-03-17 03:00:00,Huge Hell Rock,2
2025-03-17 03:00:00,Huge Nuclear Wild Dog,1
2025-03-17 03:00:00,Huge Party Dragon,1
2025-03-17 03:00:00,Huge Red Dragon,1
2025-03-17 03:00:00,Huge Red Panda,1
2025-03-17 03:00:00,Huge Shadow Dominus,1
2025-03-17 03:00:00,Huge Shiba,1
2025-03-17 03:00:00,Huge Toy Chest Mimic,2
2025-03-17 03:00:00,Huge Valentines Dominus,1
2025-03-17 03:00:00,Huge Void Alien,1
2025-03-17 03:00:00,Huge Warrior Wolf,1
2025-03-17 03:00:00,Rainbow Mini Chest,1
2025-03-24 03:00:00,1 000 000 000 gems,1
2025-03-24 03:00:00,100 000 000 gems,7
2025-03-24 03:00:00,10 000 000 gems,2
2025-03-24 03:00:00,1 000 000 gems,7
2025-03-24 03:00:00,Huge Abyssal Jellyfish,1
2025-03-24 03:00:00,Huge Angry Yeti,1
2025-03-24 03:00:00,Huge Arcade Dog,2
2025-03-24 03:00:00,Huge Clover Griffin,1
2025-03-24 03:00:00,Huge Cyber Agony,1
2025-03-24 03:00:00,Huge Dino Dog,1
2025-03-24 03:00:00,Huge Elephant,1
2025-03-24 03:00:00,Huge Fluffy Cat,1
2025-03-24 03:00:00,Huge Hell Rock,2
2025-03-24 03:00:00,Huge Hubert,1
2025-03-24 03:00:00,Huge Inferno Cat,1
2025-03-24 03:00:00,Huge Jolly Dino,1
2025-03-24 03:00:00,Huge Lucki Elephant,1
2025-03-24 03:00:00,Huge Party Crown Ducky,1
2025-03-24 03:00:00,Huge Party Dragon,1
2025-03-24 03:00:00,Huge Rave Butterfly,1
2025-03-24 03:00:00,Huge Red Dragon,4
2025-03-24 03:00:00,Huge Red Panda,1
2025-03-24 03:00:00,Huge Robber Pug,1
2025-03-24 03:00:00,Huge Shadow Dominus,1
2025-03-24 03:00:00,Huge Shattered Heart Agony,1
2025-03-24 03:00:00,Huge Skeleton Cat,1
2025-03-24 03:00:00,Huge Squirrel,1
2025-03-24 03:00:00,Huge Stargazing Axolotl,1
2025-03-24 03:00:00,Huge Temporal Owl,1
2025-03-24 03:00:00,Huge Valentines Bear,1
2025-03-24 03:00:00,Huge Void Alien,1
2025-03-24 03:00:00,Huge Wizard Westie,1
2025-03-24 03:00:00,Overload Charm,1
2025-03-31 03:00:00,1 000 000 000 gems,1
2025-03-31 03:00:00,100 000 000 gems,6
2025-03-31 03:00:00,10 000 000 gems,8
2025-03-31 03:00:00,1 000 000 gems,4
2025-03-31 03:00:00,500 000 gems,1
2025-03-31 03:00:00,Elastic Waistband,1
2025-03-31 03:00:00,GG Rock SpongeBob,1
2025-03-31 03:00:00,Huge Cyber Agony,1
2025-03-31 03:00:00,Huge Green Balloon Cat,1
2025-03-31 03:00:00,Huge Hell Rock,3
2025-03-31 03:00:00,Huge Kitsune Fox,1
2025-03-31 03:00:00,Huge Mining Penguin,1
2025-03-31 03:00:00,Huge Red Dragon,1
2025-03-31 03:00:00,Huge Red Wolf,2
2025-03-31 03:00:00,Huge Shadow Dominus,1
2025-03-31 03:00:00,Huge Stealth Dragon,1
2025-03-31 03:00:00,Soaring starfish,1
2025-03-31 03:00:00,Training Rod,1
2025-04-07 03:00:00,1 000 000 000 gems,4
2025-04-07 03:00:00,100 000 000 gems,6
2025-04-07 03:00:00,10 000 000 gems,18
2025-04-07 03:00:00,1 000 000 gems,5
2025-04-07 03:00:00,BattleAxe,1
2025-04-07 03:00:00,Batwing,1
2025-04-07 03:00:00,Huge Abyssal Jellyfish,1
2025-04-07 03:00:00,Huge Arcade Dog,1
2025-04-07 03:00:00,Huge Atomic Axolotl,2
2025-04-07 03:00:00,Huge Baby Kitten,1
2025-04-07 03:00:00,Huge Cyber Agony,2
2025-04-07 03:00:00,Huge Devil Dominus,1
2025-04-07 03:00:00,Huge Emoji Cat,1
2025-04-07 03:00:00,Huge Gorgon,1
2025-04-07 03:00:00,Huge Guest Noob,3
2025-04-07 03:00:00,Huge Happy Computer,2
2025-04-07 03:00:00,Huge Happy Rock,6
2025-04-07 03:00:00,Huge Hell Rock,5
2025-04-07 03:00:00,Huge Hunter,1
2025-04-07 03:00:00,Huge Kitsune Fox,1
2025-04-07 03:00:00,Huge Lit Cat,3
2025-04-07 03:00:00,Huge Nuclear Wild Dog,1
2025-04-07 03:00:00,Huge Party Dragon,5
2025-04-07 03:00:00,Huge Prison Cat,2
2025-04-07 03:00:00,Huge Pumpkin Scarecrow,1
2025-04-07 03:00:00,Huge Quantum Agony,1
2025-04-07 03:00:00,Huge Red Dragon,1
2025-04-07 03:00:00,Huge Red Wolf,2
2025-04-07 03:00:00,Huge Shadow Dominus,3
2025-04-07 03:00:00,Huge Sorcerer Bear,1
2025-04-07 03:00:00,Huge Storm Dominus,1
2025-04-07 03:00:00,Huge Temporal Owl,1
2025-04-07 03:00:00,Huge Toy Chest Mimic,1
2025-04-07 03:00:00,Huge Wizard Westie,2
2025-04-07 03:00:00,Hype Egg #2,1
2025-04-07 03:00:00,Lightbringer,1
2025-04-07 03:00:00,Overload Charm,1
2025-04-07 03:00:00,Rainbow Mini Chest,3
2025-04-07 03:00:00,Titan Sigma Man,1
2025-04-14 03:00:00,1 000 000 000 gems,6
2025-04-14 03:00:00,100 000 000 gems,18
2025-04-14 03:00:00,10 000 000 gems,14
2025-04-14 03:00:00,1 000 000 gems,15
2025-04-14 03:00:00,Clan Voucher,1
2025-04-14 03:00:00,Huge 404 Demon,1
2025-04-14 03:00:00,Huge Abyssal Axolotl,1
2025-04-14 03:00:00,Huge Arcade Dog,4
2025-04-14 03:00:00,Huge Atomic Axolotl,1
2025-04-14 03:00:00,Huge Baby Kitten,1
2025-04-14 03:00:00,Huge Bat,2
2025-04-14 03:00:00,Huge Blurred Axolotl,2
2025-04-14 03:00:00,Huge Capybara,1
2025-04-14 03:00:00,Huge Circuit Cat,1
2025-04-14 03:00:00,Huge Colorful Slime,1
2025-04-14 03:00:00,Huge Cyber Agony,3
2025-04-14 03:00:00,Huge Devil Dominus,1
2025-04-14 03:00:00,Huge Easter Dominus,1
2025-04-14 03:00:00,Huge Elephant,1
2025-04-14 03:00:00,Huge Fluffy Cat,4
2025-04-14 03:00:00,Huge Green Balloon Cat,1
2025-04-14 03:00:00,Huge Guest Noob,1
2025-04-14 03:00:00,Huge Happy Computer,8
2025-04-14 03:00:00,Huge Happy Rock,5
2025-04-14 03:00:00,Huge Hell Rock,2
2025-04-14 03:00:00,Huge Holographic Cat,1
2025-04-14 03:00:00,Huge Hunter,1
2025-04-14 03:00:00,Huge Hydra Axolotl,2
2025-04-14 03:00:00,Huge Icy Phoenix,2
2025-04-14 03:00:00,Huge Koi Fish,2
2025-04-14 03:00:00,Huge Lit Cat,2
2025-04-14 03:00:00,Huge Mining Penguin,1
2025-04-14 03:00:00,Huge Nuclear Wild Dog,3
2025-04-14 03:00:00,Huge Nutcracker Squirrel,1
2025-04-14 03:00:00,Huge Party Dragon,2
2025-04-14 03:00:00,Huge Poseidon Corgi,1
2025-04-14 03:00:00,Huge Prison Cat,1
2025-04-14 03:00:00,Huge Propeller Cat,1
2025-04-14 03:00:00,Huge Quantum Agony,2
2025-04-14 03:00:00,Huge Shadow Dominus,5
2025-04-14 03:00:00,Huge Shuriken Corgi,2
2025-04-14 03:00:00,Huge Slimezilla,2
2025-04-14 03:00:00,Huge Snow Elf,2
2025-04-14 03:00:00,Huge Snowflake Dominus,2
2025-04-14 03:00:00,Huge Stealth Dragon,1
