"Время","Плейс","Сумма завершенных сделок (USD)"
2025-03-17 03:00:00,PETS GO!,6.91
2025-03-17 03:00:00,Pet Simulator 99,45.5
2025-03-24 03:00:00,PETS GO!,2.58
2025-03-24 03:00:00,Pet Simulator 99,36.9
2025-03-31 03:00:00,Fisch,0.0100
2025-03-31 03:00:00,PETS GO!,3.55
2025-03-31 03:00:00,Pet Simulator 99,23.7
2025-03-31 03:00:00,SpongeBob Tower Defense,3.30
2025-04-07 03:00:00,Murder Mystery 2,3.20
2025-04-07 03:00:00,PETS GO!,1.92
2025-04-07 03:00:00,Pet Simulator 99,67.8
2025-04-07 03:00:00,Toilet Tower Defense,1
2025-04-14 03:00:00,PETS GO!,1.02
2025-04-14 03:00:00,Pet Simulator 99,140
2025-04-14 03:00:00,SpongeBob Tower Defense,0.250
2025-04-21 03:00:00,Fisch,0.180
2025-04-21 03:00:00,Murder Mystery 2,5.95
2025-04-21 03:00:00,PETS GO!,3.22
2025-04-21 03:00:00,Pet Simulator 99,48.6
2025-04-21 03:00:00,RIVALS,8
2025-04-21 03:00:00,SpongeBob Tower Defense,0.0100
2025-04-21 03:00:00,Toilet Tower Defense,4
2025-04-28 03:00:00,Adopt Me,0.400
2025-04-28 03:00:00,Fisch,1.18
2025-04-28 03:00:00,Murder Mystery 2,2.25
2025-04-28 03:00:00,PETS GO!,4.83
2025-04-28 03:00:00,Pet Simulator 99,116
2025-04-28 03:00:00,SpongeBob Tower Defense,5.43
2025-05-05 03:00:00,Adopt Me,6.91
2025-05-05 03:00:00,Blade Ball,0.900
2025-05-05 03:00:00,Murder Mystery 2,3
2025-05-05 03:00:00,PETS GO!,1.24
2025-05-05 03:00:00,Pet Simulator 99,66.8
2025-05-05 03:00:00,SpongeBob Tower Defense,9.35
2025-05-12 03:00:00,Adopt Me,0.460
2025-05-12 03:00:00,Bubble Gum Simulator INFINITY,1
2025-05-12 03:00:00,Fisch,1.31
2025-05-12 03:00:00,PETS GO!,13.9
2025-05-12 03:00:00,Pet Simulator 99,85.1
2025-05-12 03:00:00,SpongeBob Tower Defense,7.65
2025-05-19 03:00:00,Adopt Me,5.82
2025-05-19 03:00:00,Bubble Gum Simulator INFINITY,0.0600
2025-05-19 03:00:00,Fisch,0.250
2025-05-19 03:00:00,PETS GO!,1.18
2025-05-19 03:00:00,Pet Simulator 99,13.7
2025-05-19 03:00:00,ROBUX,10
