"Время","Продавец","Сумма завершенных сделок (USD)"
2025-03-10 03:00:00,Artur Tv,22.6
2025-03-10 03:00:00,Nonebones,1.85
2025-03-10 03:00:00,PetSeller,0.500
2025-03-10 03:00:00,Tensh_ae,20
2025-03-10 03:00:00,Top_SellerRB,9.83
2025-03-17 03:00:00,Artur Tv,33.2
2025-03-17 03:00:00,PetSeller,5.50
2025-03-17 03:00:00,protatip3000,2.10
2025-03-17 03:00:00,Tensh_ae,10
2025-03-17 03:00:00,Top_SellerRB,1.66
2025-03-24 03:00:00,Artur Tv,30.8
2025-03-24 03:00:00,Hasbala,5
2025-03-24 03:00:00,PetSeller,2.70
2025-03-24 03:00:00,Top_SellerRB,0.930
2025-03-31 03:00:00,Artur Tv,18.8
2025-03-31 03:00:00,Nonebones,3.30
2025-03-31 03:00:00,Roman,0.0100
2025-03-31 03:00:00,sellshop,4.96
2025-03-31 03:00:00,Top_SellerRB,3.45
2025-04-07 03:00:00,Artur Tv,42.5
2025-04-07 03:00:00,BestSeller,1
2025-04-07 03:00:00,clapsik,0.0200
2025-04-07 03:00:00,Hasbala,6
2025-04-07 03:00:00,Nonebones,2.20
2025-04-07 03:00:00,Olexii Ishchenko,1
2025-04-07 03:00:00,p_o_k_i_c_h,0.530
2025-04-07 03:00:00,sellshop,17.6
2025-04-07 03:00:00,Tensh_ae,1.88
2025-04-07 03:00:00,Top_SellerRB,1.20
2025-04-14 03:00:00,Artur Tv,58.3
2025-04-14 03:00:00,clapsik,0.480
2025-04-14 03:00:00,feru1221,48.7
2025-04-14 03:00:00,fortemol,0.330
2025-04-14 03:00:00,KingPets,13.5
2025-04-14 03:00:00,Nonebones,0.250
2025-04-14 03:00:00,PetSeller,11.3
2025-04-14 03:00:00,p_o_k_i_c_h,0.680
2025-04-14 03:00:00,sellshop,2.09
2025-04-14 03:00:00,Tensh_ae,3
2025-04-14 03:00:00,Top_SellerRB,2.40
2025-04-21 03:00:00,Artur Tv,21.8
2025-04-21 03:00:00,Carma,0.900
2025-04-21 03:00:00,clapsik,0.500
2025-04-21 03:00:00,confid,4
2025-04-21 03:00:00,feru1221,8.08
2025-04-21 03:00:00,Fluks,0.240
2025-04-21 03:00:00,KingPets,14.2
2025-04-21 03:00:00,Nonebones,16.1
2025-04-21 03:00:00,p_o_k_i_c_h,1.61
2025-04-21 03:00:00,sellshop,0.0300
2025-04-21 03:00:00,Tensh_ae,0.120
2025-04-21 03:00:00,Unknown ,0.170
2025-04-21 03:00:00,WestonShop,2.22
2025-04-28 03:00:00,Artur Tv,83.8
2025-04-28 03:00:00,dark qwerty,2.85
2025-04-28 03:00:00,dpavel5,0.200
2025-04-28 03:00:00,feru1221,19.0
2025-04-28 03:00:00,fortemol,0.230
2025-04-28 03:00:00,Hasbala,0.0600
2025-04-28 03:00:00,Kevinmane,3.70
2025-04-28 03:00:00,Nonebones,13.3
2025-04-28 03:00:00,p_o_k_i_c_h,0.430
2025-04-28 03:00:00,protatip3000,2
2025-04-28 03:00:00,sellshop,3.77
2025-04-28 03:00:00,Top_SellerRB,1.19
2025-05-05 03:00:00,Artur Tv,26.7
2025-05-05 03:00:00,Carma,0.470
2025-05-05 03:00:00,dark qwerty,1.06
2025-05-05 03:00:00,feru1221,17.5
2025-05-05 03:00:00,fortemol,0.0600
2025-05-05 03:00:00,Kevinmane,17.5
2025-05-05 03:00:00,ninja,3
2025-05-05 03:00:00,Nonebones,21.5
2025-05-05 03:00:00,p_o_k_i_c_h,0.260
2025-05-05 03:00:00,sellshop,0.130
2025-05-05 03:00:00,Timepoc,0.0500
2025-05-12 03:00:00,Artur Tv,72.9
2025-05-12 03:00:00,dark qwerty,5.57
2025-05-12 03:00:00,fortemol,0.360
2025-05-12 03:00:00,Kevinmane,7.44
2025-05-12 03:00:00,ninja,0.670
2025-05-12 03:00:00,Nonebones,22.3
2025-05-12 03:00:00,p_o_k_i_c_h,0.240
