"Время","Товар","Сумма завершенных сделок (USD)"
2025-03-10 03:00:00,1 000 000 000 gems,20
2025-03-10 03:00:00,100 000 000 gems,5.75
2025-03-10 03:00:00,10 000 000 gems,5.15
2025-03-10 03:00:00,1 000 000 gems,8.35
2025-03-10 03:00:00,Captain Magma,1.40
2025-03-10 03:00:00,Chest Spell,1
2025-03-10 03:00:00,Huge Egg Dino,0.600
2025-03-10 03:00:00,Huge Fancy Axolotl,0.500
2025-03-10 03:00:00,Huge Happy Computer,4.05
2025-03-10 03:00:00,Huge Happy Rock,7.56
2025-03-10 03:00:00,Sea King Jaw,0.450
2025-03-17 03:00:00,1 000 000 000 gems,10
2025-03-17 03:00:00,100 000 000 gems,15.2
2025-03-17 03:00:00,10 000 000 gems,1.73
2025-03-17 03:00:00,1 000 000 gems,2.13
2025-03-17 03:00:00,Huge Baby Kitten,0.600
2025-03-17 03:00:00,Huge Blurred Axolotl,0.330
2025-03-17 03:00:00,Huge Colorful Slime,0.700
2025-03-17 03:00:00,Huge Cosmic Axolotl,2.10
2025-03-17 03:00:00,Huge Fancy Axolotl,0.560
2025-03-17 03:00:00,Huge Fluffy Cat,0.660
2025-03-17 03:00:00,Huge Fossil Dragon,0.330
2025-03-17 03:00:00,Huge Gorgon,0.660
2025-03-17 03:00:00,Huge Happy Computer,7.29
2025-03-17 03:00:00,Huge Happy Rock,1.59
2025-03-17 03:00:00,Huge Heartbreak Fairy,0.330
2025-03-17 03:00:00,Huge Hell Rock,1.13
2025-03-17 03:00:00,Huge Nuclear Wild Dog,0.330
2025-03-17 03:00:00,Huge Party Dragon,0.330
2025-03-17 03:00:00,Huge Red Dragon,0.500
2025-03-17 03:00:00,Huge Red Panda,0.330
2025-03-17 03:00:00,Huge Shadow Dominus,0.330
2025-03-17 03:00:00,Huge Shiba,2.50
2025-03-17 03:00:00,Huge Toy Chest Mimic,1.03
2025-03-17 03:00:00,Huge Valentines Dominus,0.330
2025-03-17 03:00:00,Huge Void Alien,0.330
2025-03-17 03:00:00,Huge Warrior Wolf,0.800
2025-03-17 03:00:00,Rainbow Mini Chest,0.300
2025-03-24 03:00:00,1 000 000 000 gems,5
2025-03-24 03:00:00,100 000 000 gems,16.8
2025-03-24 03:00:00,10 000 000 gems,0.600
2025-03-24 03:00:00,1 000 000 gems,1.26
2025-03-24 03:00:00,Huge Abyssal Jellyfish,0.330
2025-03-24 03:00:00,Huge Angry Yeti,0.330
2025-03-24 03:00:00,Huge Arcade Dog,1.36
2025-03-24 03:00:00,Huge Clover Griffin,0.660
2025-03-24 03:00:00,Huge Cyber Agony,0.330
2025-03-24 03:00:00,Huge Dino Dog,0.330
2025-03-24 03:00:00,Huge Elephant,0.580
2025-03-24 03:00:00,Huge Fluffy Cat,0.330
2025-03-24 03:00:00,Huge Hell Rock,0.660
2025-03-24 03:00:00,Huge Hubert,1.45
2025-03-24 03:00:00,Huge Inferno Cat,0.270
2025-03-24 03:00:00,Huge Jolly Dino,0.330
2025-03-24 03:00:00,Huge Lucki Elephant,0.330
2025-03-24 03:00:00,Huge Party Crown Ducky,2
2025-03-24 03:00:00,Huge Party Dragon,0.330
2025-03-24 03:00:00,Huge Rave Butterfly,0.450
2025-03-24 03:00:00,Huge Red Dragon,1.38
