,Artur Tv,Nonebones,sellshop,feru1221,p_o_k_i_c_h,Kevinmane,Top_SellerRB,KingPets,Tensh_ae,PetSeller,ninja,dark qwerty,fortemol,clapsik,Hasbala,WestonShop,Carma,dpavel5,protatip3000,Olexii Ishchenko,BestSeller,Fluks,confid,Unknown ,Roman,Timepoc
10-03,16,2,0,0,0,0,8,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17-03,39,0,0,0,0,0,3,0,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
24-03,46,0,0,0,0,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
31-03,23,3,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
07-04,63,2,18,0,4,0,1,0,3,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0
14-04,104,1,6,5,11,0,2,13,4,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
21-04,44,23,1,10,10,0,0,6,2,0,0,0,0,2,0,4,3,0,0,0,0,1,1,1,0,0
28-04,48,24,5,16,3,4,2,0,0,0,0,3,2,0,3,0,0,2,1,0,0,0,0,0,0,0
05-05,38,18,1,4,2,16,0,0,0,0,5,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1
12-05,24,20,0,0,3,4,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Сумма,445,93,38,35,33,24,20,19,12,10,9,7,5,5,5,4,4,2,2,1,1,1,1,1,1,1
