,Artur Tv,Nonebones,sellshop,feru1221,p_o_k_i_c_h,Kevinmane,KingPets,Top_SellerRB,ninja,Tensh_ae,PetSeller,dark qwerty,Hasbala,fortemol,clapsik,Carma,Заяц сумасшедший,WestonShop,dpavel5,protatip3000,Olexii Ishchenko,Fluks,BestSeller,Roman,confid,Timepoc,Unknown 
17-03,39,0,0,0,0,0,0,3,0,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
24-03,46,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-03,23,3,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
07-04,63,2,18,0,4,0,0,1,0,3,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0
14-04,104,1,6,5,11,0,13,2,0,4,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
21-04,44,23,1,10,10,0,6,0,0,2,0,0,0,0,2,3,0,4,0,0,0,1,0,0,1,0,1
28-04,48,24,5,16,3,4,0,2,0,0,0,3,3,2,0,0,0,0,2,1,0,0,0,0,0,0,0
05-05,38,18,1,4,2,16,0,0,5,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
12-05,24,20,0,0,3,4,0,0,4,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19-05,14,9,0,0,1,1,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
Сумма,443,100,38,35,34,25,19,12,10,10,9,7,5,5,5,4,4,4,2,2,1,1,1,1,1,1,1
