,Artur Tv,Nonebones,feru1221,sellshop,p_o_k_i_c_h,Top_SellerRB,Kevinmane,KingPets,PetSeller,Tensh_ae,ninja,Заяц сумасшедший,dark qwerty,Hasbala,fortemol,clapsik,Carma,WestonShop,protatip3000,dpavel5,Elisey,BestSeller,SWIseller,Roman,Olexii Ishchenko,Fluks,confid,Unknown ,Timepoc,namiko
03-03,8,3,0,0,0,10,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-03,19,2,0,0,0,6,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17-03,41,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24-03,48,3,0,0,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-03,16,0,0,13,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
07-04,66,2,0,16,5,2,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
14-04,119,3,5,3,12,1,0,14,2,5,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0
21-04,31,27,10,0,8,0,0,5,0,0,0,0,0,0,1,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0
28-04,48,23,17,6,3,2,4,0,0,0,0,0,3,3,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
05-05,34,16,3,0,3,0,19,0,0,0,5,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
12-05,28,19,0,0,3,0,2,0,0,0,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19-05,14,18,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26-05,27,9,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
02-06,62,7,4,0,3,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
09-06,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Сумма,576,136,41,38,37,29,27,19,14,14,10,9,7,5,5,5,4,4,2,2,1,1,1,1,1,1,1,1,1,1
