,100 000 000 gems,10 000 000 gems,1 000 000 gems,1 000 000 000 gems,Huge Happy Rock,Huge Happy Computer,Huge Hell Rock,Huge Mining Penguin,Huge Shadow Dominus,Rainbow Mini Chest,Huge Arcade Dog,Huge Party Dragon,Huge Red Dragon,Huge Wizard Westie,Huge Fluffy Cat,Huge Nuclear Wild Dog,Huge Toy Chest Mimic,Huge Red Wolf,Huge Cyber Agony,Huge Lit Cat,Huge Prison Cat,Huge Hunter,Huge Guest Noob,Hype Egg #2,Royalty Charm,500 000 gems,Huge Blurred Axolotl,Huge Gorgon,Huge Fancy Axolotl,Huge Kitsune Fox,Huge Mechatronic Robot,Huge Elephant,Huge Colorful Slime,Huge Void Alien,Huge UV Kitsune,Huge Icy Phoenix,Huge Heartbreak Fairy,Huge Inferno Cat,Huge Quantum Agony,Crystallized Seadragon,Huge Atomic Axolotl,Huge Bat,Huge Baby Kitten,Huge Slimezilla,Huge Snowflake Dominus,Overload Charm,Huge Snow Elf,100m gems,Huge Angry Yeti,Huge 404 Demon,Huge Abyssal Jellyfish,Huge Red Panda,Secret Key,Huge Stealth Dragon,Huge Shuriken Corgi,Huge Temporal Owl,Clan Voucher,Huge Capybara,Huge Green Balloon Cat,500m gems,Soaring starfish,Huge Valentines Bear,Huge Propeller Cat,Huge Poseidon Corgi,Huge Punksky,Huge Koi Fish,Huge Hydra Axolotl,Huge Devil Dominus,Fairy Bat Dragon,Festive Skin Case,Huge Astronaut Cat,Huge Anubis,Huge Abyssal Axolotl,Hash Slinging Slasher,Huge Alien Octopus,Exclusive Raffle Ticket,Huge Circuit Cat,Huge Bison,Exalted Relic,Eternal Frostwhale,Diamond Shovel,Dream Gary,Diamond Fishing Rod,Captain Magma,Chroma Boneblade,Chest Spell,Chroma Darkbringer,Chroma Gemstone,Chroma Heat,Chroma Gingerblade,Crowned Anglerfish,Dennis,100 000 gems,Abyssal Dragon,Ancient Megalodon,Cerberus,Batwing,BattleAxe,Band Geek Mr. Krabs,Band Geek Mrs. Puff,Chameleon,Candy,Frozen Leviathan,GG Rock SpongeBob,God Potion,Golden Sea Pearl,Green Seer,Hallowscythe,Elastic Waistband,Exclusive Anime Egg,Huge Holographic Cat,Huge Hubert,Huge Gargoyle Dragon,Huge Electric Penguin,Huge Cosmic Axolotl,Huge Helicopter Cat,Huge Easter Dominus,Huge Dino Dog,Huge Clover Griffin,Huge Egg Dino,Huge Emoji Cat,Huge Fossil Dragon,Huge Empyrean Dragon,Huge Classic Dog,Huge Shiba,Huge Shattered Heart Agony,Huge Robber Pug,Huge Rave Butterfly,Huge Pumpkin Scarecrow,Huge Pufferfish,Huge Party Crown Ducky,Huge Jolly Dino,Huge Mining Monkey,Huge Lucki Elephant,Huge Loveserker,Huge Mosaic Griffin,Huge Mr Krabs,Huge Nutcracker Squirrel,Huge Pineapple Cat,Huge Inferno Dominus,Huge Valentine's Bear,Huge Tiedye Bunny,Huge Storm Dominus,Huge Valentines Dominus,Huge Wild Corrupt Agony,Huge Warrior Wolf,Hype Egg,King Neptune,Lava Dragon,Lightbringer,Lovestorm Eel,Huge Stargazing Axolotl,Huge Skeleton Cat,Huge Squirrel,Huge Sphinx,Huge Sorcerer Bear,Moon Egg,Moby,Megalodon,Marshmallow Kitsune,Magma Leviathan,Orca,Octophant,Nessie,Phantom Megalodon,Peppermint,Rainbow Shock,Phaser,Ram,Royal Egg,Obsidian Pickaxe,Nightmare,Scylla,Runic Pickaxe,Sea King Jaw,Sea Bear,Season Premium Pass,SpongeHenge,The Kraken,Titan Sigma Man,Titanic Anime Cat,Titanic Icy Phoenix,Training Rod,Vampires Edge,Wavelight Greatblade,Winters Edge,Xmas,Yellow Seer
10-03,5,4,7,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17-03,5,7,4,1,2,5,2,0,1,1,0,1,1,0,2,1,2,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24-03,7,2,7,1,0,0,2,0,1,0,2,1,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-03,6,8,4,1,0,0,3,1,1,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
07-04,6,18,5,4,6,2,5,0,3,3,1,5,1,2,0,1,1,2,2,3,2,1,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14-04,18,14,15,6,5,8,2,1,5,4,4,2,0,3,4,3,4,0,3,2,1,1,1,3,1,0,2,0,0,0,0,1,1,0,1,2,0,0,2,0,1,2,1,2,2,0,2,0,0,1,0,0,0,1,2,0,1,1,1,0,0,1,1,1,0,2,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21-04,11,10,16,2,5,3,0,6,0,1,2,0,2,2,0,1,0,1,0,0,2,0,0,1,1,3,1,0,2,0,3,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
28-04,19,16,21,2,2,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,3,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,3,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0
05-05,24,12,7,6,1,0,2,3,1,2,1,0,0,0,1,2,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
12-05,16,12,4,4,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
