,100 000 000 gems,10 000 000 gems,1 000 000 gems,1 000 000 000 gems,Huge Happy Rock,Huge Hell Rock,Huge Happy Computer,Huge Mining Penguin,Huge Shadow Dominus,Rainbow Mini Chest,Huge Fluffy Cat,Huge Arcade Dog,Huge Party Dragon,Huge Red Dragon,Huge Wizard Westie,Huge Toy Chest Mimic,Huge Nuclear Wild Dog,Huge Cyber Agony,Huge Red Wolf,Huge Prison Cat,Huge Lit Cat,Huge Hunter,Huge Guest Noob,Hype Egg #2,Huge Blurred Axolotl,Royalty Charm,500 000 gems,Huge Gorgon,Huge Colorful Slime,Huge Baby Kitten,Huge Atomic Axolotl,Crystallized Seadragon,Huge Bat,Huge Quantum Agony,Huge Snow Elf,Huge Slimezilla,Huge Snowflake Dominus,Huge Inferno Cat,Huge Fancy Axolotl,Huge Elephant,Huge Heartbreak Fairy,Huge Icy Phoenix,Huge Kitsune Fox,Huge Mechatronic Robot,Huge UV Kitsune,Huge Void Alien,Overload Charm,Huge Abyssal Jellyfish,Huge 404 Demon,Huge Angry Yeti,Huge Capybara,Huge Hydra Axolotl,Huge Koi Fish,Huge Red Panda,Huge Poseidon Corgi,Huge Propeller Cat,Huge Shuriken Corgi,Secret Key,Huge Valentines Bear,Huge Temporal Owl,Soaring starfish,Huge Punksky,500m gems,Clan Voucher,100m gems,Huge Stealth Dragon,Huge Devil Dominus,Huge Green Balloon Cat,Huge Clover Griffin,Huge Circuit Cat,Huge Anubis,Huge Clover Butterfly,Huge Classic Dog,God Potion,GG Rock SpongeBob,Golden Sea Pearl,Green Seer,Hash Slinging Slasher,Hallowscythe,Huge Astronaut Cat,Huge Bison,Huge Cosmic Axolotl,Exclusive Raffle Ticket,Frozen Leviathan,Festive Skin Case,Exclusive Anime Egg,Exalted Relic,Chroma Gingerblade,Chameleon,Chroma Heat,Crowned Anglerfish,Dennis,Diamond Fishing Rod,Diamond Shovel,Dream Gary,Elastic Waistband,Eternal Frostwhale,100 000 gems,1 000 Robux Game Pass,BattleAxe,Band Geek Mrs. Puff,Band Geek Mr. Krabs,Ancient Megalodon,Ancient Dragon,Abyssal Dragon,Cerberus,Chroma Boneblade,Chroma Gemstone,Chroma Darkbringer,Batwing,Candy,Huge Abyssal Axolotl,Huge Alien Octopus,Fairy Bat Dragon,Huge Loveserker,Huge Party Crown Ducky,Huge Pumpkin Scarecrow,Huge Hubert,Huge Jolly Dino,Huge Inferno Dominus,Huge Holographic Cat,Huge Dino Dog,Huge Empyrean Dragon,Huge Electric Penguin,Huge Easter Dominus,Huge Emoji Cat,Huge Helicopter Cat,Huge Gargoyle Dragon,Huge Fossil Dragon,Huge Sorcerer Bear,Huge Shattered Heart Agony,Huge Shiba,Huge Skeleton Cat,Huge Rave Butterfly,Huge Robber Pug,Huge Pufferfish,Huge Lucki Elephant,Huge Nutcracker Squirrel,Huge Mr Krabs,Huge Mosaic Griffin,Huge Mining Monkey,Huge Pineapple Cat,Huge Tiedye Bunny,Huge Squirrel,Huge Storm Dominus,Huge Wild Corrupt Agony,Hype Egg,King Bee,King Neptune,Kitsune,Lava Dragon,Lightbringer,Lovestorm Eel,Magma Leviathan,Marshmallow Kitsune,Megalodon,Huge Stargazing Axolotl,Huge Valentines Dominus,Huge Valentine's Bear,Huge Warrior Wolf,Huge Sphinx,Northstar Serpent,Nightmare,Nessie,Moon Egg,Moby,Phantom Megalodon,Peppermint,Obsidian Pickaxe,Pink Cat,Phaser,Ram,Rainbow Shock,Royal Egg,Runic Pickaxe,Octophant,Orca,Sea Bear,Scylla,Season Premium Pass,Spectral Serpent,SpongeHenge,Sunburst,The Kraken,Titan Sigma Man,Titanic Anime Cat,Titanic Icy Phoenix,Training Rod,Vampires Edge,Wavelight Greatblade,Winters Edge,Xmas,Yellow Seer
17-03,5,7,4,1,2,2,5,0,1,1,2,0,1,1,0,2,1,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24-03,7,2,7,1,0,2,0,0,1,0,1,2,1,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-03,6,8,4,1,0,3,0,1,1,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
07-04,6,18,5,4,6,5,2,0,3,3,0,1,5,1,2,1,1,2,2,2,3,1,3,1,0,0,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14-04,18,14,15,6,5,2,8,1,5,4,4,4,2,0,3,4,3,3,0,1,2,1,1,3,2,1,0,0,1,1,1,0,2,2,2,2,2,0,0,1,0,2,0,0,1,0,0,0,1,0,1,2,2,0,1,1,2,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-04,11,10,16,2,5,0,3,6,0,1,0,2,0,2,2,0,1,0,1,2,0,0,0,1,1,1,3,0,1,0,0,0,1,0,1,0,0,0,2,1,1,1,0,3,1,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
28-04,19,16,21,2,2,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,3,1,0,0,1,0,1,0,0,0,3,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
05-05,24,12,7,6,1,2,0,3,1,2,1,1,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
12-05,16,12,4,4,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19-05,14,2,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
