,Pet Simulator 99,PETS GO!,SpongeBob Tower Defense,Murder Mystery 2,Adopt Me,ROBUX,RIVALS,Toilet Tower Defense,Fisch,Bubble Gum Simulator INFINITY,Blade Ball
17-03,45.5,6.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24-03,36.9,2.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31-03,23.7,3.55,3.3,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
07-04,67.8,1.92,0.0,3.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0
14-04,140.0,1.02,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21-04,48.6,3.22,0.01,5.95,0.0,0.0,8.0,4.0,0.18,0.0,0.0
28-04,116.0,4.83,5.43,2.25,0.4,0.0,0.0,0.0,1.18,0.0,0.0
05-05,66.8,1.24,9.35,3.0,6.91,0.0,0.0,0.0,0.0,0.0,0.9
12-05,85.1,13.9,7.65,0.0,0.46,0.0,0.0,0.0,1.31,1.0,0.0
19-05,13.7,1.18,0.0,0.0,5.82,10.0,0.0,0.0,0.25,0.06,0.0
Сумма,644.1,40.35,25.990000000000002,14.399999999999999,13.59,10.0,8.0,5.0,2.9299999999999997,1.06,0.9
