,Pet Simulator 99,Grow a Garden,PETS GO!,SpongeBob Tower Defense,Adopt Me,Murder Mystery 2,ROBUX,RIVALS,Toilet Tower Defense,Dress To Impress,Fisch,Bubble Gum Simulator INFINITY,Blade Ball,King Legacy,Bee Swarm Simulator
03-03,67.6,0.0,11.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.3
10-03,52.8,0.0,0.12,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0
17-03,45.5,0.0,6.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24-03,36.9,0.0,2.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31-03,23.7,0.0,3.55,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0
07-04,67.8,0.0,1.92,0.0,0.0,3.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14-04,140.0,0.0,1.02,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21-04,48.6,0.0,3.22,0.01,0.0,5.95,0.0,8.0,4.0,0.0,0.18,0.0,0.0,0.0,0.0
28-04,116.0,0.0,4.83,5.43,0.4,2.25,0.0,0.0,0.0,0.0,1.18,0.0,0.0,0.0,0.0
05-05,66.8,0.0,1.24,9.35,6.91,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0
12-05,85.1,0.0,13.9,7.65,0.46,0.0,0.0,0.0,0.0,0.0,1.31,1.0,0.0,0.0,0.0
19-05,13.7,0.0,1.18,0.0,5.82,0.0,10.0,0.0,0.0,4.5,0.25,0.06,0.0,0.0,0.0
26-05,19.7,11.3,0.48,3.72,4.78,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02-06,69.6,32.5,0.27,0.0,19.3,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0
09-06,11.2,15.3,1.76,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.0
Сумма,865.0000000000002,59.099999999999994,54.58,43.50999999999999,37.67,15.6,10.0,8.0,5.0,4.5,3.2800000000000002,2.06,0.9,0.45,0.3
