,Artur Tv,feru1221,Nonebones,Tensh_ae,Kevinmane,sellshop,KingPets,Top_SellerRB,PetSeller,Hasbala,dark qwerty,protatip3000,confid,p_o_k_i_c_h,ninja,WestonShop,Carma,BestSeller,clapsik,Olexii Ishchenko,fortemol,Fluks,dpavel5,Unknown ,Timepoc,Roman
10-03,22.6,0.0,1.85,20.0,0.0,0.0,0.0,9.83,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17-03,33.2,0.0,0.0,10.0,0.0,0.0,0.0,1.66,5.5,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24-03,30.8,0.0,0.0,0.0,0.0,0.0,0.0,0.93,2.7,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31-03,18.8,0.0,3.3,0.0,0.0,4.96,0.0,3.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
07-04,42.5,0.0,2.2,1.88,0.0,17.6,0.0,1.2,0.0,6.0,0.0,0.0,0.0,0.53,0.0,0.0,0.0,1.0,0.02,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14-04,58.3,48.7,0.25,3.0,0.0,2.09,13.5,2.4,11.3,0.0,0.0,0.0,0.0,0.68,0.0,0.0,0.0,0.0,0.48,0.0,0.33,0.0,0.0,0.0,0.0,0.0
21-04,21.8,8.08,16.1,0.12,0.0,0.03,14.2,0.0,0.0,0.0,0.0,0.0,4.0,1.61,0.0,2.22,0.9,0.0,0.5,0.0,0.0,0.24,0.0,0.17,0.0,0.0
28-04,83.8,19.0,13.3,0.0,3.7,3.77,0.0,1.19,0.0,0.06,2.85,2.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.2,0.0,0.0,0.0
05-05,26.7,17.5,21.5,0.0,17.5,0.13,0.0,0.0,0.0,0.0,1.06,0.0,0.0,0.26,3.0,0.0,0.47,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.05,0.0
12-05,72.9,0.0,22.3,0.0,7.44,0.0,0.0,0.0,0.0,0.0,5.57,0.0,0.0,0.24,0.67,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0
Сумма,411.4,93.28,80.8,35.0,28.64,28.580000000000002,27.7,20.66,20.0,11.059999999999999,9.48,4.1,4.0,3.75,3.67,2.22,1.37,1.0,1.0,1.0,0.9800000000000001,0.24,0.2,0.17,0.05,0.01
