,Artur Tv,feru1221,Nonebones,Kevinmane,sellshop,KingPets,PetSeller,Tensh_ae,ninja,Hasbala,Top_SellerRB,dark qwerty,protatip3000,confid,p_o_k_i_c_h,WestonShop,Заяц сумасшедший,Carma,BestSeller,Olexii Ishchenko,clapsik,fortemol,Fluks,dpavel5,Unknown ,Timepoc,Roman
17-03,33.2,0.0,0.0,0.0,0.0,0.0,5.5,10.0,0.0,0.0,1.66,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24-03,30.8,0.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0,5.0,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31-03,18.8,0.0,3.3,0.0,4.96,0.0,0.0,0.0,0.0,0.0,3.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
07-04,42.5,0.0,2.2,0.0,17.6,0.0,0.0,1.88,0.0,6.0,1.2,0.0,0.0,0.0,0.53,0.0,0.0,0.0,1.0,1.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
14-04,58.3,48.7,0.25,0.0,2.09,13.5,11.3,3.0,0.0,0.0,2.4,0.0,0.0,0.0,0.68,0.0,0.0,0.0,0.0,0.0,0.48,0.33,0.0,0.0,0.0,0.0,0.0
21-04,21.8,8.08,16.1,0.0,0.03,14.2,0.0,0.12,0.0,0.0,0.0,0.0,0.0,4.0,1.61,2.22,0.0,0.9,0.0,0.0,0.5,0.0,0.24,0.0,0.17,0.0,0.0
28-04,83.8,19.0,13.3,3.7,3.77,0.0,0.0,0.0,0.0,0.06,1.19,2.85,2.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.2,0.0,0.0,0.0
05-05,26.7,17.5,21.5,17.5,0.13,0.0,0.0,0.0,3.0,0.0,0.0,1.06,0.0,0.0,0.26,0.0,0.0,0.47,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.05,0.0
12-05,72.9,0.0,22.3,7.44,0.0,0.0,0.0,0.0,0.67,0.0,0.0,5.57,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0
19-05,11.4,0.0,7.31,0.66,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,1.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Сумма,400.19999999999993,93.28,86.26,29.3,28.580000000000002,27.7,19.5,15.0,13.67,11.06,10.83,9.48,4.1,4.0,3.76,2.22,1.68,1.37,1.0,1.0,1.0,0.9800000000000001,0.24,0.2,0.17,0.05,0.01
