,Artur Tv,Nonebones,feru1221,Tensh_ae,Top_SellerRB,Kevinmane,PetSeller,sellshop,KingPets,ninja,Hasbala,dark qwerty,Заяц сумасшедший,SWIseller,protatip3000,confid,namiko,p_o_k_i_c_h,WestonShop,Carma,BestSeller,Olexii Ishchenko,Elisey,clapsik,fortemol,Fluks,dpavel5,Unknown ,Timepoc,Roman
03-03,8.23,0.85,0.0,40.0,21.4,0.0,9.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10-03,22.6,1.85,0.0,20.0,9.83,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17-03,33.2,0.0,0.0,10.0,1.66,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24-03,30.8,0.0,0.0,0.0,0.93,0.0,2.7,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31-03,18.8,3.3,0.0,0.0,3.45,0.0,0.0,4.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
07-04,42.5,2.2,0.0,1.88,1.2,0.0,0.0,17.6,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.0,1.0,1.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
14-04,58.3,0.25,48.7,3.0,2.4,0.0,11.3,2.09,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.0,0.0,0.0,0.0,0.0,0.48,0.33,0.0,0.0,0.0,0.0,0.0
21-04,21.8,16.1,8.08,0.12,0.0,0.0,0.0,0.03,14.2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.61,2.22,0.9,0.0,0.0,0.0,0.5,0.0,0.24,0.0,0.17,0.0,0.0
28-04,83.8,13.3,19.0,0.0,1.19,3.7,0.0,3.77,0.0,0.0,0.06,2.85,0.0,0.0,2.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.2,0.0,0.0,0.0
05-05,26.7,21.5,17.5,0.0,0.0,17.5,0.0,0.13,0.0,3.0,0.0,1.06,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.47,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.05,0.0
12-05,72.9,22.3,0.0,0.0,0.0,7.44,0.0,0.0,0.0,0.67,0.0,5.57,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0
19-05,11.4,11.8,0.0,0.0,0.0,0.66,0.0,0.0,0.0,10.0,0.0,0.0,1.68,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26-05,15.8,10.2,0.03,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,3.82,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02-06,94.8,19.9,1.3,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,1.04,0.0,0.0,0.0,4.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09-06,23.0,15.8,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Сумма,564.63,139.35000000000002,94.67,75.0,42.05999999999999,35.0,29.470000000000002,28.580000000000002,27.7,13.67,11.06,9.48,7.58,6.5,4.1,4.0,4.0,3.9600000000000004,2.22,1.37,1.0,1.0,1.0,1.0,0.9800000000000001,0.24,0.2,0.17,0.05,0.01
