,Artur Tv,Nonebones,feru1221,Tensh_ae,Top_SellerRB,Kevinmane,sellshop,PetSeller,KingPets,ninja,Hasbala,dark qwerty,Заяц сумасшедший,SWIseller,protatip3000,confid,namiko,p_o_k_i_c_h,WestonShop,Carma,BestSeller,Olexii Ishchenko,Elisey,clapsik,fortemol,Fluks,dpavel5,Unknown ,Timepoc,Roman
03-03,7.63,0.85,0.0,30.0,21.1,0.0,0.0,8.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10-03,23.3,1.85,0.0,20.0,7.37,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17-03,42.3,0.0,0.0,0.0,2.01,0.0,0.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24-03,23.8,3.3,0.0,0.0,2.03,0.0,0.0,2.7,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31-03,16.1,0.0,0.0,0.0,2.0,0.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.01
07-04,45.3,2.2,0.0,3.72,3.2,0.0,8.32,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14-04,62.1,8.6,48.7,1.28,0.4,0.0,0.87,11.3,14.4,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.48,0.33,0.24,0.0,0.17,0.0,0.0
21-04,17.8,10.1,8.08,0.0,0.0,0.0,0.0,0.0,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,2.22,0.9,0.0,0.0,0.0,0.5,0.2,0.0,0.0,0.0,0.0,0.0
28-04,82.5,15.9,19.1,0.0,1.19,3.7,3.9,0.0,0.0,0.0,0.06,2.85,0.0,0.0,2.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.2,0.0,0.0,0.0
05-05,25.7,24.2,17.4,0.0,0.0,21.7,0.0,0.0,0.0,3.0,0.0,1.06,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0
12-05,76.4,19.7,0.0,0.0,0.0,3.89,0.0,0.0,0.0,0.67,0.0,5.57,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0
19-05,13.2,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26-05,10.8,23.1,0.09,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,3.82,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02-06,95.8,1.18,1.3,0.0,0.8,0.9,0.0,0.0,0.0,0.0,0.0,0.0,2.08,0.0,0.0,0.0,4.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09-06,21.4,15.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Сумма,564.13,139.38,94.67,55.0,40.1,34.989999999999995,28.59,27.85,27.700000000000003,13.67,11.06,9.48,7.58,6.5,4.1,4.0,4.0,3.960000000000001,2.22,1.37,1.0,1.0,1.0,1.0,0.98,0.24,0.2,0.17,0.05,0.01
