,1 000 000 000 gems,100 000 000 gems,Titanic Anime Cat,Titanic Icy Phoenix,10 000 000 gems,1 000 000 gems,Raccoon,Titanic Nyan Cat,Huge Happy Rock,Huge Happy Computer,Huge Blurred Axolotl,Turtle,Huge Hell Rock,1 000 Robux Game Pass,Huge Shadow Dominus,500m gems,Festive Skin Case,Kangaroo,Ultra Secret Hunter,Huge Toy Chest Mimic,10b Sheckels,Dragonfly,Dennis,Huge Mining Penguin,100m gems,Huge Capybara,Huge Nightmare Corgi,Huge Fluffy Cat,Huge Green Balloon Cat,SpongeHenge,Huge Gargoyle Dragon,5x Speed,Huge Arcade Dog,Hash Slinging Slasher,Huge Cosmic Axolotl,Huge Party Dragon,Monthly VIP Pass,Season Premium Pass,GG Rock SpongeBob,Huge Red Wolf,Huge Nuclear Wild Dog,Fairy Bat Dragon,100 000 gems,Huge Red Dragon,Huge Dog,Huge Fancy Axolotl,Huge Void Alien,Huge Mr Krabs,Candy,Huge 404 Demon,Huge Hunter,Pink Cat,Huge UV Kitsune,Huge Atomic Axolotl,Cupid Dragon,Huge Cyber Agony,Hype Egg #2,Huge Shiba,Nightmare,Huge Kitsune Fox,Huge Wizard Westie,Huge Guest Noob,Huge Heartbreak Fairy,Huge Propeller Cat,Huge Holographic Cat,Huge Icy Phoenix,Huge Easter Dominus,Huge Quantum Agony,Lava Dragon,Rainbow Mini Chest,Huge Slimezilla,Huge Party Crown Ducky,Praying Mantis,Clan Voucher,Captain Magma,Huge Wild Corrupt Agony,Chroma Darkbringer,Huge Baby Kitten,Huge Bison,Huge Colorful Slime,Huge Inferno Dominus,Huge Hubert,Chroma Heat,Huge Temporal Owl,Huge Koi Fish,Huge Hydra Axolotl,Huge Devil Dominus,Huge Classic Dog,Huge Gorgon,Huge Emoji Cat,Huge Balloon Dragon,Huge Storm Dominus,Dream Gary,Huge Abyssal Axolotl,Kitsune,Chroma Elderwood Blade,Squirrel,Lightbringer,Chicken Zombie,Huge Abyssal Jellyfish,Huge Valentines Bear,Ancient Dragon,Huge Lit Cat,Huge Hot Dog,Chroma Gemstone,Huge Poseidon Corgi,Huge Elephant,BattleAxe,Batwing,1t Sheckels,Chest Spell,Owl,Titan Sigma Man,Huge Snow Elf,Huge Rave Butterfly,Huge Stargazing Axolotl,Wavelight Greatblade,Huge Mechatronic Robot,Chroma Gingerblade,Soaring starfish,Chroma Boneblade,Huge Punksky,Ram,Elastic Waistband,Huge Warrior Wolf,Moby,Huge Shuriken Corgi,King Bee,Huge Inferno Cat,Band Geek Sandy,Exclusive Raffle Ticket,Huge Red Panda,Huge Snowflake Dominus,Huge Stealth Dragon,Huge Clover Griffin,Huge Prison Cat,Huge Pumpkin Scarecrow,Huge Tiedye Bunny,Royalty Charm,Classic Trade Stand,Huge Bat,Huge Egg Dino,Ride A Pet Potion,Huge Clover Butterfly,Rainbow Shock,Abyssal Dragon,Exclusive Anime Egg,Huge Jolly Dino,Hallowscythe,Bauble Buddies,Mythic Dualcorn,Sea King Jaw,Cerberus,Chameleon,Ancient Megalodon,Comet Pickaxe,Huge Angry Yeti,Overload Charm,Xmas,The Kraken,Huge Skeleton Cat,Huge Valentines Dominus,Huge Squirrel,Huge Sorcerer Bear,Huge Shattered Heart Agony,Huge Lucki Elephant,Huge Dino Dog,Huge Robber Pug,Huge Fossil Dragon,Eternal Frostwhale,Huge Alien Octopus,Elf Cap,Yellow Seer,Huge Electric Penguin,Peppermint,Huge Loveserker,Sea Bear,Vampires Edge,Phaser,Winters Edge,Golden Sea Pearl,Huge Mining Monkey,Green Seer,Crystallized Seadragon,Huge Nutcracker Squirrel,Hamster,Huge Mosaic Griffin,Phantom Megalodon,Huge Helicopter Cat,Huge Astronaut Cat,Band Geek Plankton,Northstar Serpent,Nessie,Frozen Penguin,Shiny Mythic Diamond Serpent,Huge Pineapple Cat,Huge Pastel Deer,Mermaid Man,Lovestorm Eel,Diamond Fishing Rod,Huge Circuit Cat,Dragon Plushie,Shiver Wolf,Huge Hacker Cat,Shiny Virus,Runic Pickaxe,Shiny Demonic Hydra,500 000 gems,Hibernation Sandy,Band Geek Mrs. Puff,Band Geek Mr. Krabs,Sunburst,Diamond Shovel,Scylla,Shiny Green Hydra,Spectral Serpent,Magma Leviathan,Marshmallow Kitsune,Huge Anubis,Huge Empyrean Dragon,Huge Valentine's Bear,Frozen Leviathan,Man Ray,Secret Key,Octophant,Huge Pufferfish,Orca,Royal Egg,Obsidian Pickaxe,Hype Egg,Megalodon,Moon Egg,Crowned Anglerfish,Exalted Relic,God Potion,Huge Sphinx,King Neptune,Training Rod
03-03,40.0,1.35,0.0,0.0,2.22,22.6,0.0,0.0,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10-03,20.0,5.75,0.0,0.0,5.15,8.35,0.0,0.0,7.56,4.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17-03,10.0,15.2,0.0,0.0,1.73,2.13,0.0,0.0,1.59,7.29,0.33,0.0,1.13,0.0,0.33,0.0,0.0,0.0,0.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.33,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.5,0.0,0.56,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24-03,5.0,16.8,0.0,0.0,0.6,1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,1.36,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.45,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.33,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.09,0.0,0.0,0.33,0.0,0.33,0.0,0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31-03,8.2,6.4,0.0,0.0,3.04,0.49,0.0,0.0,0.0,0.0,0.0,0.0,1.23,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.45,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1.5,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
07-04,22.8,6.15,0.0,0.0,13.9,0.55,0.0,0.0,3.04,0.38,0.0,0.0,2.52,0.0,0.77,0.0,0.0,0.0,0.0,1.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,2.5,0.0,0.0,0.0,0.67,1.2,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,1.32,0.0,0.66,0.56,0.0,0.0,1.0,0.26,0.42,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,1.04,0.0,0.0,0.65,0.0,0.13,1.25,0.0,1.25,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.26,0.0,0.0,0.59,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14-04,55.6,15.7,0.0,0.0,5.07,1.38,0.0,0.0,1.11,2.23,11.8,0.0,1.33,0.0,1.18,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.25,0.0,6.0,0.0,3.77,2.0,0.0,0.0,0.0,1.69,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.65,1.3,0.0,0.72,1.39,0.0,0.0,0.0,0.53,0.6,0.0,0.99,2.31,1.3,2.3,1.1,0.0,0.54,1.2,0.0,0.0,0.65,0.0,0.0,0.0,0.3,0.0,0.2,0.0,0.0,0.0,0.0,1.3,1.3,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.33,0.0,0.0,0.6,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.27,0.33,0.0,0.13,0.0,0.65,0.04,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21-04,11.3,11.7,0.0,0.0,2.82,1.51,0.0,0.0,2.42,2.75,0.5,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.16,0.0,0.05,0.0,0.0,0.0,0.0,5.2,0.0,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.4,0.0,4.0,0.46,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.46,0.0,0.2,0.5,0.0,1.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.4,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.25,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.04,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0
28-04,10.4,20.2,0.0,54.0,7.11,1.15,0.0,0.0,2.31,1.32,0.0,0.0,1.65,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.22,3.52,0.0,0.0,0.21,0.0,5.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.98,0.0,0.0,2.0,1.5,0.0,0.8,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.57,0.3,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,1.45,0.0,1.4,0.0,0.0,0.0,0.0,1.3,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.04,0.0,0.0,0.18,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.23,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.13,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04,0.04,0.0,0.0,0.03,0.03,0.0,0.02,0.01,0.01,0.0,0.0,0.0
05-05,34.4,20.2,0.0,0.0,1.47,0.27,0.0,0.0,0.13,0.0,0.0,0.0,0.39,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.33,4.65,0.0,0.0,0.0,4.37,0.0,1.75,0.87,4.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.08,0.23,0.0,0.0,0.0,0.65,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.19,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
