,1 000 000 000 gems,100 000 000 gems,Titanic Anime Cat,Titanic Icy Phoenix,10 000 000 gems,Raccoon,1 000 000 gems,Titanic Nyan Cat,Huge Happy Rock,Huge Happy Computer,Huge Blurred Axolotl,Turtle,Huge Hell Rock,1 000 Robux Game Pass,Huge Shadow Dominus,500m gems,Festive Skin Case,Kangaroo,Ultra Secret Hunter,Huge Toy Chest Mimic,10b Sheckels,Dragonfly,Dennis,Huge Mining Penguin,100m gems,Huge Capybara,Huge Nightmare Corgi,Huge Fluffy Cat,Huge Green Balloon Cat,SpongeHenge,Huge Gargoyle Dragon,5x Speed,Huge Arcade Dog,Hash Slinging Slasher,Huge Cosmic Axolotl,Huge Party Dragon,Monthly VIP Pass,Season Premium Pass,GG Rock SpongeBob,Huge Red Wolf,Huge Nuclear Wild Dog,Fairy Bat Dragon,100 000 gems,Huge Red Dragon,Huge UV Kitsune,Huge Dog,Huge Fancy Axolotl,Huge Void Alien,Candy,Huge 404 Demon,Huge Mr Krabs,Huge Hunter,Pink Cat,Huge Atomic Axolotl,Cupid Dragon,Huge Cyber Agony,Hype Egg #2,Nightmare,Huge Shiba,Huge Kitsune Fox,Huge Wizard Westie,Huge Guest Noob,Huge Propeller Cat,Huge Heartbreak Fairy,Huge Holographic Cat,Huge Icy Phoenix,Huge Easter Dominus,Huge Quantum Agony,Lava Dragon,Rainbow Mini Chest,Huge Slimezilla,Huge Party Crown Ducky,Praying Mantis,Clan Voucher,Captain Magma,Huge Wild Corrupt Agony,Chroma Darkbringer,Huge Baby Kitten,Huge Colorful Slime,Huge Bison,Huge Hubert,Huge Inferno Dominus,Chroma Heat,Huge Temporal Owl,Huge Koi Fish,Huge Classic Dog,Huge Hydra Axolotl,Huge Devil Dominus,Huge Gorgon,Huge Emoji Cat,Dream Gary,Huge Storm Dominus,Huge Balloon Dragon,Huge Abyssal Axolotl,Chroma Elderwood Blade,Kitsune,Lightbringer,Chicken Zombie,Squirrel,Huge Abyssal Jellyfish,Huge Valentines Bear,Ancient Dragon,Huge Lit Cat,Huge Poseidon Corgi,Chroma Gemstone,Huge Hot Dog,Huge Elephant,1t Sheckels,Chest Spell,BattleAxe,Batwing,Owl,Titan Sigma Man,Huge Snow Elf,Huge Stargazing Axolotl,Huge Rave Butterfly,Wavelight Greatblade,Huge Mechatronic Robot,Chroma Gingerblade,Soaring starfish,Chroma Boneblade,Huge Punksky,Huge Warrior Wolf,Ram,Elastic Waistband,Moby,King Bee,Huge Shuriken Corgi,Huge Inferno Cat,Band Geek Sandy,Exclusive Raffle Ticket,Huge Red Panda,Huge Prison Cat,Huge Snowflake Dominus,Huge Stealth Dragon,Huge Clover Griffin,Huge Pumpkin Scarecrow,Huge Tiedye Bunny,Classic Trade Stand,Royalty Charm,Huge Bat,Huge Egg Dino,Ride A Pet Potion,Huge Clover Butterfly,Abyssal Dragon,Exclusive Anime Egg,Rainbow Shock,Huge Jolly Dino,Hallowscythe,Bauble Buddies,Sea King Jaw,Mythic Dualcorn,Cerberus,Chameleon,Ancient Megalodon,Comet Pickaxe,Huge Angry Yeti,Overload Charm,Xmas,The Kraken,Huge Skeleton Cat,Huge Squirrel,Huge Valentines Dominus,Huge Robber Pug,Huge Sorcerer Bear,Huge Shattered Heart Agony,Huge Lucki Elephant,Huge Dino Dog,Huge Fossil Dragon,Eternal Frostwhale,Elf Cap,Huge Alien Octopus,Yellow Seer,Huge Electric Penguin,Sea Bear,Peppermint,Phaser,Huge Loveserker,Vampires Edge,Winters Edge,Huge Mining Monkey,Golden Sea Pearl,Crystallized Seadragon,Green Seer,Huge Nutcracker Squirrel,Hamster,Huge Mosaic Griffin,Band Geek Plankton,Huge Astronaut Cat,Huge Helicopter Cat,Phantom Megalodon,Northstar Serpent,Nessie,Frozen Penguin,Shiny Mythic Diamond Serpent,Huge Pineapple Cat,Huge Pastel Deer,Huge Knight Beagle,Mermaid Man,Lovestorm Eel,Diamond Fishing Rod,Huge Circuit Cat,Dragon Plushie,Shiver Wolf,Huge Hacker Cat,Shiny Virus,Runic Pickaxe,Shiny Demonic Hydra,500 000 gems,Hibernation Sandy,Band Geek Mr. Krabs,Band Geek Mrs. Puff,Sunburst,Diamond Shovel,Scylla,Shiny Green Hydra,Spectral Serpent,Magma Leviathan,Marshmallow Kitsune,Huge Anubis,Huge Empyrean Dragon,Huge Valentine's Bear,Frozen Leviathan,Man Ray,Secret Key,Octophant,Huge Pufferfish,Orca,Royal Egg,Obsidian Pickaxe,Hype Egg,Megalodon,Moon Egg,Crowned Anglerfish,Exalted Relic,God Potion,Huge Sphinx,King Neptune,Training Rod
03-03,30.0,1.35,0.0,0.0,0.6,0.0,21.1,0.0,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10-03,20.0,5.75,0.0,0.0,5.85,0.0,6.49,0.0,7.56,4.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17-03,0.0,23.8,0.0,0.0,1.36,0.0,2.48,0.0,1.59,7.29,0.33,0.0,1.13,0.0,0.33,0.0,0.0,0.0,0.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.73,0.0,0.0,0.56,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24-03,5.0,10.1,0.0,0.0,0.75,0.0,1.03,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.45,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,1.36,0.0,0.0,0.33,0.0,0.0,1.8,0.0,0.0,0.0,0.0,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.45,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.45,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.33,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.09,0.0,0.0,0.33,0.33,0.0,0.33,0.0,0.33,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31-03,14.2,4.6,0.0,0.0,5.46,0.0,0.39,0.0,0.13,0.0,0.0,0.0,2.53,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
07-04,16.8,8.65,0.0,0.0,12.9,0.0,0.54,0.0,3.43,0.63,0.0,0.0,1.22,0.0,0.77,0.0,0.0,0.0,0.0,1.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.13,0.0,0.0,2.5,0.0,0.0,0.0,0.67,1.2,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,1.32,0.0,0.66,0.65,0.0,0.0,1.0,0.26,0.42,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,1.04,0.0,0.0,0.0,0.65,0.13,1.25,0.0,1.25,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.26,0.0,0.0,0.59,0.0,0.0,0.0,0.25,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14-04,55.6,15.6,0.0,0.0,3.35,0.0,1.72,0.0,0.79,1.98,11.8,0.0,1.33,0.0,1.18,0.0,8.0,0.0,0.0,3.2,0.0,0.0,0.0,0.5,0.0,6.0,0.0,3.77,0.0,0.0,0.0,0.0,3.02,0.0,0.0,0.8,0.0,0.0,0.0,0.0,1.06,0.0,4.0,0.0,0.65,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,1.3,0.0,0.72,1.54,0.0,0.0,0.0,0.99,0.6,0.99,0.2,2.31,2.3,2.3,0.65,0.0,0.55,1.2,0.0,0.0,0.65,0.0,0.0,0.0,0.3,0.8,0.0,0.0,0.0,0.0,0.0,1.3,0.0,1.3,0.65,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.33,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.33,0.27,0.33,0.0,0.0,0.65,0.0,0.04,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21-04,11.3,9.34,0.0,0.0,2.87,0.0,1.23,0.0,2.22,2.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.91,0.0,0.05,0.0,0.0,0.0,0.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.46,0.65,0.0,1.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.25,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.04,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0
28-04,10.4,21.4,0.0,54.0,7.07,0.0,1.11,0.0,2.44,1.32,0.0,0.0,1.71,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.22,3.52,0.0,0.0,0.21,0.0,5.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.37,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,1.98,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.45,0.57,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,1.45,0.0,0.0,0.0,1.3,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.04,0.0,0.04,0.18,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.23,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.13,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.04,0.0,0.03,0.0,0.03,0.0,0.02,0.01,0.0,0.0,0.0,0.0
05-05,34.4,23.3,0.0,0.0,1.31,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,0.7,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.33,4.65,0.0,0.0,0.0,0.0,0.0,1.75,0.87,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.08,0.2,0.0,0.0,0.0,0.65,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.19,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
